report_date,segment,region,fact_progn,tranth_tst,dollar,dol_rab_ter,dol_sn_nal,rab_dney,atm,cards,compl
31.01.2013,S_2,RG_64,fact,113.7316716,30.03,0.946836789,0.460072976,17,402,NULL,0.99937835
31.01.2013,S_2,RG_65,fact,80.27392914,30.03,0.932846277,0.474711043,17,1251,NULL,0.999373105
31.01.2013,S_2,RG_66,fact,32.61030775,30.03,0.736319742,0.475851872,17,337.5,NULL,0.999299439
31.01.2013,S_2,RG_67,fact,69.64751344,30.03,0.919774,0.371816821,17,675,NULL,0.999368205
31.01.2013,S_2,RG_68,fact,1.451612903,30.03,0.881578947,0.495488652,17,89.99999999,NULL,0.999353888
31.01.2013,S_2,RG_69,fact,50.44152694,30.03,0.9542438,0.440636127,17,388.5,NULL,0.999381126
31.01.2013,S_2,RG_7,fact,69.20135276,30.03,0.927773731,0.418785304,17,396,NULL,0.999371204
31.01.2013,S_2,RG_70,fact,29.09354839,30.03,0.753623188,0.454946721,17,261,NULL,0.999305925
31.01.2013,S_2,RG_71,fact,23.48164627,30.03,0.901340996,0.504831914,17,600,NULL,0.999361296
31.01.2013,S_2,RG_72,fact,142.1913082,30.03,0.915231788,0.498002996,17,806.9999999,NULL,0.999366503
31.01.2013,S_2,RG_73,fact,65.4280397,30.03,0.944370271,0.41522133,17,154.5,NULL,0.999377425
31.01.2013,S_2,RG_74,fact,1.129032258,30.03,0.920914875,0.371673865,17,48,NULL,0.999368633
31.01.2013,S_2,RG_75,fact,101.4150136,30.03,0.93852459,0.500209939,17,931.4999999,NULL,0.999375234
31.01.2013,S_2,RG_76,fact,30.54624389,30.03,0.885402139,0.477029888,17,1477.5,NULL,0.999355321
31.01.2013,S_2,RG_77,fact,647.2479839,30.03,0.77016129,0.365756593,17,387,NULL,0.999312125
31.01.2013,S_2,RG_78,fact,33.90096774,30.03,0.907340946,0.47348463,17,1008,NULL,0.999363545
31.01.2013,S_2,RG_79,fact,36.23857168,30.03,0.922257301,0.4637161,17,433.5,NULL,0.999369136
31.01.2013,S_2,RG_8,fact,123.6436026,30.03,0.930213004,0.487582779,17,339,NULL,0.999372118
31.01.2013,S_2,RG_80,fact,100.2338103,30.03,0.963409563,0.435443906,17,1510.5,NULL,0.999384562
31.01.2013,S_2,RG_81,fact,39.92384953,30.03,0.929484219,0.496463464,17,1453.5,NULL,0.999371845
31.01.2013,S_2,RG_82,fact,112.6046711,30.03,0.958808619,0.414395457,17,241.5,NULL,0.999382837
31.01.2013,S_2,RG_83,fact,52.96523297,30.03,0.931472081,0.51846146,17,441,NULL,0.99937259
31.01.2013,S_2,RG_84,fact,119.3083829,30.03,0.948655713,0.440134969,17,1444.5,NULL,0.999379031
31.01.2013,S_2,RG_85,fact,57.20832352,30.03,0.895850796,0.481974188,17,579,NULL,0.999359238
31.01.2013,S_2,RG_9,fact,149.0039662,30.03,0.956296722,0.375737542,17,375,NULL,0.999381895
31.01.2013,S_3,RG_1,fact,111.7101518,30.03,0.919774,0.371816821,17,639,NULL,0.999684103
31.01.2013,S_3,RG_10,fact,13.63844086,30.03,0.949844881,0.497901261,17,183,NULL,0.999689739
31.01.2013,S_3,RG_11,fact,6.002304147,30.03,NULL,NULL,17,16.5,NULL,NULL
31.01.2013,S_3,RG_12,fact,49.5608345,30.03,0.899030234,0.50297035,17,436.5,NULL,0.999680215
31.01.2013,S_3,RG_13,fact,4.512463343,30.03,0.927184466,0.502216347,17,132,NULL,0.999685492
31.01.2013,S_3,RG_14,fact,75.1495333,30.03,0.919774,0.371816821,17,64.5,NULL,0.999684103
31.01.2013,S_3,RG_15,fact,10.67396313,30.03,0.962427746,0.4158136,17,63,NULL,0.999692097
31.01.2013,S_3,RG_16,fact,42.73794315,30.03,0.911408274,0.449686582,17,478.5,NULL,0.999682535
31.01.2013,S_3,RG_17,fact,17.96901528,30.03,0.904465593,0.550960292,17,333,NULL,0.999681234
31.01.2013,S_3,RG_18,fact,9.572230014,30.03,0.916666667,0.480481807,17,190.5,NULL,0.99968352
31.01.2013,S_3,RG_19,fact,25.50189753,30.03,0.941697417,0.465164769,17,1540.5,NULL,0.999688212
31.01.2013,S_3,RG_2,fact,66.59886233,30.03,0.924197921,0.440206523,17,943.4999999,NULL,0.999684932
31.01.2013,S_3,RG_20,fact,68.15371457,30.03,0.953003876,0.473269687,17,273,NULL,0.999690331
31.01.2013,S_3,RG_21,fact,25.6993428,30.03,0.905984581,0.473933057,17,2152.5,NULL,0.999681518
31.01.2013,S_3,RG_22,fact,11.16402921,30.03,0.95630531,0.453958155,17,79.49999999,NULL,0.999690949
31.01.2013,S_3,RG_23,fact,32.57675195,30.03,0.920638945,0.495198546,17,451.5,NULL,0.999684265
31.01.2013,S_3,RG_25,fact,38.06925996,30.03,0.886714727,0.522017624,17,345,NULL,0.999677907
31.01.2013,S_3,RG_26,fact,78.92641129,30.03,0.924758185,0.466009134,17,1054.5,NULL,0.999685037
31.01.2013,S_3,RG_27,fact,4.516129032,30.03,NULL,NULL,17,7.5,NULL,NULL
31.01.2013,S_3,RG_28,fact,9.530791789,30.03,0.955555556,0.454142735,17,69,NULL,0.999690809
31.01.2013,S_3,RG_29,fact,21.32478632,30.03,0.94683295,0.435954865,17,339,NULL,0.999689174
31.01.2013,S_3,RG_3,fact,161.7473118,30.03,0.803755869,0.393244916,17,288,NULL,0.999662359
31.01.2013,S_3,RG_30,fact,34.86338469,30.03,0.902601156,0.518887351,17,376.5,NULL,0.999680884
31.01.2013,S_3,RG_32,fact,8.859447005,30.03,0.923208191,0.523499724,17,132,NULL,0.999684746
31.01.2013,S_3,RG_33,fact,500.9694578,30.03,0.688862418,0.411060415,17,2188.5,NULL,0.999640825
31.01.2013,S_3,RG_34,fact,57.01174614,30.03,0.939952438,0.513482245,17,235.5,NULL,0.999687884
31.01.2013,S_3,RG_35,fact,57.55875346,30.03,0.926123721,0.193829975,17,853.4999999,NULL,0.999685293
31.01.2013,S_3,RG_36,fact,127.0683517,30.03,0.919774,0.371816821,17,4899,NULL,0.999684103
31.01.2013,S_3,RG_37,fact,4.435483871,30.03,0.94,0.469396664,17,91.49999999,NULL,0.999687893
31.01.2013,S_3,RG_38,fact,51.00340136,30.03,0.920297556,0.447632641,17,501,NULL,0.999684201
31.01.2013,S_3,RG_39,fact,70.61373935,30.03,0.951727329,0.452730276,17,1221,NULL,0.999690091
31.01.2013,S_3,RG_4,fact,27.18990635,30.03,0.92179427,0.481077028,17,450,NULL,0.999684481
31.01.2013,S_3,RG_40,fact,20.47883065,30.03,0.940441176,0.375410811,17,82.49999999,NULL,0.999687976
31.01.2013,S_3,RG_41,fact,19.60486399,30.03,0.921909933,0.487529554,17,568.5,NULL,0.999684503
31.01.2013,S_3,RG_42,fact,25.82894448,30.03,0.958653622,0.444993498,17,463.5,NULL,0.999691389
31.01.2013,S_3,RG_43,fact,60.03772112,30.03,0.942195347,0.457483758,17,1246.5,NULL,0.999688305
31.01.2013,S_3,RG_44,fact,9.725124943,30.03,0.923273657,0.480559331,17,288,NULL,0.999684759
31.01.2013,S_3,RG_45,fact,28.3255231,30.03,0.912227074,0.512483424,17,486,NULL,0.999682688
31.01.2013,S_3,RG_46,fact,33.61223118,30.03,0.895078606,0.496586193,17,409.5,NULL,0.999679474
31.01.2013,S_3,RG_47,fact,41.18252688,30.03,0.952380952,0.414103106,17,802.4999999,NULL,0.999690214
31.01.2013,S_3,RG_48,fact,39.49902248,30.03,0.919709855,0.450765813,17,196.5,NULL,0.999684091
31.01.2013,S_3,RG_49,fact,108.9818088,30.03,0.922006102,0.501773953,17,949.4999999,NULL,0.999684521
31.01.2013,S_3,RG_5,fact,35.26351351,30.03,0.933712121,0.499286363,17,886.4999999,NULL,0.999686715
31.01.2013,S_3,RG_50,fact,64.66769005,30.03,0.95530412,0.442399336,17,1690.5,NULL,0.999690762
31.01.2013,S_3,RG_51,fact,38.64273666,30.03,0.923771462,0.337637794,17,595.5,NULL,0.999684852
31.01.2013,S_3,RG_52,fact,303.2989247,30.03,0.840125392,0.414879953,17,564,NULL,0.999669175
31.01.2013,S_3,RG_53,fact,4.174082314,30.03,0.890862944,0.512840086,17,163.5,NULL,0.999678684
31.01.2013,S_3,RG_54,fact,80.41826134,30.03,0.92259887,0.420882525,17,205.5,NULL,0.999684632
31.01.2013,S_3,RG_55,fact,53.4404383,30.03,0.930841968,0.464746952,17,1504.5,NULL,0.999686177
31.01.2013,S_3,RG_56,fact,87.44686172,30.03,0.93831134,0.486300205,17,877.4999999,NULL,0.999687577
31.01.2013,S_3,RG_57,fact,50.48334041,30.03,0.957430919,0.47083539,17,610.5,NULL,0.99969116
31.01.2013,S_3,RG_58,fact,36.46290323,30.03,0.908907901,0.500278781,17,487.5,NULL,0.999682066
31.01.2013,S_3,RG_59,fact,75.95535367,30.03,0.92560471,0.41703917,17,1098,NULL,0.999685195
